"covariate","scale","source_path","output_path","method","status","error_msg"
"Mean Temperature","10m","D:/FIA_NEFIN/data/covariates/fine_10m/tmean.tif","D:/FIA_NEFIN/data/covariates/fine_10m_preprocessed/tmean.tif","bilinear","success",""
"Minimum Temperature","10m","D:/FIA_NEFIN/data/covariates/fine_10m/tmin.tif","D:/FIA_NEFIN/data/covariates/fine_10m_preprocessed/tmin.tif","bilinear","success",""
"Maximum Temperature","10m","D:/FIA_NEFIN/data/covariates/fine_10m/tmax.tif","D:/FIA_NEFIN/data/covariates/fine_10m_preprocessed/tmax.tif","bilinear","success",""
"Precipitation","10m","D:/FIA_NEFIN/data/covariates/fine_10m/ppt.tif","D:/FIA_NEFIN/data/covariates/fine_10m_preprocessed/ppt.tif","bilinear","success",""
"Canopy Height","250m","D:/FIA_NEFIN/data/covariates/coarse_250m/canopy_height_250m_2020_NE.tif","D:/FIA_NEFIN/data/covariates/coarse_250m_preprocessed/canopy_height_250m_2020_NE.tif","skipped","skipped_exists",""
"NDVI (MODIS)","250m","D:/FIA_NEFIN/data/covariates/coarse_250m/MODIS_NDVI_250m_2020_2024_NE.tif","D:/FIA_NEFIN/data/covariates/coarse_250m_preprocessed/MODIS_NDVI_250m_2020_2024_NE.tif","skipped","skipped_exists",""
"EVI (MODIS)","250m","D:/FIA_NEFIN/data/covariates/coarse_250m/MODIS_EVI_250m_2020_2024_NE.tif","D:/FIA_NEFIN/data/covariates/coarse_250m_preprocessed/MODIS_EVI_250m_2020_2024_NE.tif","skipped","skipped_exists",""
"NBR (MODIS)","250m","D:/FIA_NEFIN/data/covariates/coarse_250m/MODIS_NBR_250m_2020_2024_NE.tif","D:/FIA_NEFIN/data/covariates/coarse_250m_preprocessed/MODIS_NBR_250m_2020_2024_NE.tif","skipped","skipped_exists",""
"NDWI (MODIS)","250m","D:/FIA_NEFIN/data/covariates/coarse_250m/MODIS_NDWI_250m_2020_2024_NE.tif","D:/FIA_NEFIN/data/covariates/coarse_250m_preprocessed/MODIS_NDWI_250m_2020_2024_NE.tif","skipped","skipped_exists",""
"Red Band (MODIS)","250m","D:/FIA_NEFIN/data/covariates/coarse_250m/MODIS_RED_250m_2020_2024_NE.tif","D:/FIA_NEFIN/data/covariates/coarse_250m_preprocessed/MODIS_RED_250m_2020_2024_NE.tif","skipped","skipped_exists",""
"NIR Band (MODIS)","250m","D:/FIA_NEFIN/data/covariates/coarse_250m/MODIS_NIR_250m_2020_2024_NE.tif","D:/FIA_NEFIN/data/covariates/coarse_250m_preprocessed/MODIS_NIR_250m_2020_2024_NE.tif","skipped","skipped_exists",""
"Blue Band (MODIS)","250m","D:/FIA_NEFIN/data/covariates/coarse_250m/MODIS_BLUE_250m_2020_2024_NE.tif","D:/FIA_NEFIN/data/covariates/coarse_250m_preprocessed/MODIS_BLUE_250m_2020_2024_NE.tif","skipped","skipped_exists",""
"Green Band (MODIS)","250m","D:/FIA_NEFIN/data/covariates/coarse_250m/MODIS_GREEN_250m_2020_2024_NE.tif","D:/FIA_NEFIN/data/covariates/coarse_250m_preprocessed/MODIS_GREEN_250m_2020_2024_NE.tif","skipped","skipped_exists",""
"SWIR1 Band (MODIS)","250m","D:/FIA_NEFIN/data/covariates/coarse_250m/MODIS_SWIR1_250m_2020_2024_NE.tif","D:/FIA_NEFIN/data/covariates/coarse_250m_preprocessed/MODIS_SWIR1_250m_2020_2024_NE.tif","skipped","skipped_exists",""
"Elevation","250m","D:/FIA_NEFIN/data/covariates/coarse_250m/elevation_250m_NE.tif","D:/FIA_NEFIN/data/covariates/coarse_250m_preprocessed/elevation_250m_NE.tif","skipped","skipped_exists",""
"Slope","250m","D:/FIA_NEFIN/data/covariates/coarse_250m/slope_250m_NE.tif","D:/FIA_NEFIN/data/covariates/coarse_250m_preprocessed/slope_250m_NE.tif","skipped","skipped_exists",""
"Aspect","250m","D:/FIA_NEFIN/data/covariates/coarse_250m/aspect_250m_NE.tif","D:/FIA_NEFIN/data/covariates/coarse_250m_preprocessed/aspect_250m_NE.tif","skipped","skipped_exists",""
"Mean Temperature","250m","D:/FIA_NEFIN/data/covariates/coarse_250m/tmean.tif","D:/FIA_NEFIN/data/covariates/coarse_250m_preprocessed/tmean.tif","skipped","skipped_exists",""
"Minimum Temperature","250m","D:/FIA_NEFIN/data/covariates/coarse_250m/tmin.tif","D:/FIA_NEFIN/data/covariates/coarse_250m_preprocessed/tmin.tif","skipped","skipped_exists",""
"Maximum Temperature","250m","D:/FIA_NEFIN/data/covariates/coarse_250m/tmax.tif","D:/FIA_NEFIN/data/covariates/coarse_250m_preprocessed/tmax.tif","skipped","skipped_exists",""
"Precipitation","250m","D:/FIA_NEFIN/data/covariates/coarse_250m/ppt.tif","D:/FIA_NEFIN/data/covariates/coarse_250m_preprocessed/ppt.tif","skipped","skipped_exists",""
